Country,Pollutant,Variable,Year,Unit,PowerCode,Value
Canada,Particulates (PM2.5),Road Transport,2005,Tonnes,Thousands,26.39
Canada,Particulates (PM2.5),Road Transport,2006,Tonnes,Thousands,24.919
Canada,Particulates (PM2.5),Road Transport,2007,Tonnes,Thousands,23.807
Canada,Particulates (PM2.5),Road Transport,2008,Tonnes,Thousands,22.97
Canada,Particulates (PM2.5),Road Transport,2009,Tonnes,Thousands,21.346
Canada,Particulates (PM2.5),Road Transport,2010,Tonnes,Thousands,21.263
Canada,Particulates (PM2.5),Road Transport,2011,Tonnes,Thousands,20.034
Canada,Particulates (PM2.5),Road Transport,2012,Tonnes,Thousands,18.86
Canada,Particulates (PM2.5),Road Transport,2013,Tonnes,Thousands,18.244
Canada,Particulates (PM2.5),Road Transport,2014,Tonnes,Thousands,16.999
Canada,Particulates (PM2.5),Road Transport,2015,Tonnes,Thousands,15.95
Canada,Particulates (PM2.5),Road Transport,2016,Tonnes,Thousands,15.942
Canada,Particulates (PM2.5),Road Transport,2017,Tonnes,Thousands,16.495
Canada,Particulates (PM2.5),Road Transport,2018,Tonnes,Thousands,17.097
Canada,Particulates (PM2.5),Road Transport,2019,Tonnes,Thousands,17.131
Canada,Particulates (PM2.5),Other Mobile Sources,2005,Tonnes,Thousands,38.992
Canada,Particulates (PM2.5),Other Mobile Sources,2006,Tonnes,Thousands,36.158
Canada,Particulates (PM2.5),Other Mobile Sources,2007,Tonnes,Thousands,35.865
Canada,Particulates (PM2.5),Other Mobile Sources,2008,Tonnes,Thousands,34.649
Canada,Particulates (PM2.5),Other Mobile Sources,2009,Tonnes,Thousands,31.994
Canada,Particulates (PM2.5),Other Mobile Sources,2010,Tonnes,Thousands,32.985
Canada,Particulates (PM2.5),Other Mobile Sources,2011,Tonnes,Thousands,28.66
Canada,Particulates (PM2.5),Other Mobile Sources,2012,Tonnes,Thousands,25.492
Canada,Particulates (PM2.5),Other Mobile Sources,2013,Tonnes,Thousands,23.963
