"X","Country","City","Continent","Stock.Index","Latitude","Longitude","Source","lat","lon","site","distance","COUNTRY_NAME","STNID","NAME","LAT","LON","BEGIN","END","meteo_distance","meteo_source","country"
1,"argentina","Buenos Aires","South America","S&P Merval",-34.6042,-58.3708,"ACUMAR",-34.6582,-58.3429,"",6531.91998434034,"ARGENTINA","875820-99999","AEROPARQUE JORGE NEWBERY",-34.559,-58.416,19730101,20200107,6517.584531,"GSOD",NA
2,"australia","Sydney","Oceania","S&P/ASX 200",-33.8634,151.2086,"NSW gov",-33.8643,151.1638,"",4142.33108860564,"AUSTRALIA","947680-99999","SYDNEY (OBSERVATORY HILL)",-33.85,151.2,19541231,20200107,1690.313381,"GSOD",NA
3,"austria","Vienna","Europe","ATX",48.216,16.3663,"EEA",48.2181,16.3819,"at90tab",1180.48268317395,"AUSTRIA","110340-99999","WIEN/INNERE STADT",48.2,16.367,19900705,20200107,1781.868741,"GSOD",NA
4,"bahrain","Manama","Western Asia","Bahrain all-share",26.2376,50.5735,"U.S. Department of State",26.2047,50.5708,"",3672.32327975636,"BAHRAIN","411500-99999","BAHRAIN INTL",26.271,50.634,19440101,20200107,7092.69964,"GSOD",NA
5,"bangladesh","Dhaka","South Asia","DSE30",23.7227,90.4214,"U.S. Department of State",23.7962,90.4246,"",8188.47573495087,"BANGLADESH","419230-99999","TEJGAON",23.779,90.383,19450228,20200107,7388.338302,"GSOD",NA
6,"belgium","Brussels","Europe","BEL 20",50.848,4.3504,"EEA",50.8497,4.3338,"betr001",1181.95605888806,"BELGIUM","064470-99999","UCCLE",50.8,4.35,19490101,20200107,5343.409594,"GSOD",NA
7,"bosnia","Sarajevo","Europe","Sarajevo10",43.8562,18.4112,"EEA",43.6616,18.9775,"ba0041a",50421.739975617,"BOSNIA & HERZEGOVINA","146540-99999","SARAJEVO-BJELAVE",43.867,18.433,19981012,20200107,2122.965054,"GSOD",NA
8,"botswana","Gaborone","South Africa","BSE Domestic",-24.6786,25.9283,NA,NA,NA,"",NA,"BOTSWANA","682440-99999","GABORONE",-24.667,25.917,19580101,20160904,1724.553008,"GSOD",NA
9,"brazil","Sao Paulo","South America","Bovespa",-23.5465,-46.6344,NA,NA,NA,"",NA,"BRAZIL","837790-99999","MARTE",-23.509,-46.638,19730101,20200107,4190.620355,"GSOD",NA
10,"bulgaria","Sofia","Europe","BSESOFIX",42.6958,23.3168,"EEA",42.6806,23.2968,"bg0050a",2353.98452611407,"BULGARIA","156140-99999","SOFIA",42.695,23.406,19310901,20200107,7298.564022,"GSOD",NA
11,"canada","Toronto","North America","S&P/TSX Composite Index",43.6483,-79.3833,"Ministry of the Environment, Conservation and Parks",43.663,-79.3881,"",1681.44174375949,"CANADA","715080-99999","TORONTO CITY  ONT",43.667,-79.4,20040803,20200107,2478.369298,"GSOD",NA
12,"chile","Santiago","South America","SPCLXIPSA",-33.4393,-70.6477,"SINCA",-33.4223,-70.6511,"",1918.61094931611,"CHILE","855770-99999","QUINTA NORMAL",-33.433,-70.683,19350101,20200107,3353.388946,"GSOD",NA
13,"china","Shanghai","East Asia","SSE Composite Index",31.14123,121.30315,"U.S. Department of State",31.21,121.44,"",15115.9477962867,"CHINA","588470-99999","FUZHOU",26.083,119.283,19560820,20200107,4133.581824,"GSOD",NA
14,"china","Shenzen","East Asia","SZSE Component Index",22.5477,114.0849,NA,NA,NA,"",NA,"CHINA","450320-99999","TA KWU LING",22.533,114.15,19921204,20200107,6890.438926,"GSOD",NA
15,"colombia","Bogota","South America","COLCAP",4.6325,-74.0658,"U.S. Department of State",4.6369,-74.095,"",3276.7153786517,"COLOMBIA","802220-99999","ELDORADO INTL",4.702,-74.147,19410301,20200107,11875.25668,"GSOD",NA
16,"croatia","Zagreb","Europe","CROBEX",45.7986,15.97,NA,NA,NA,NA,NA,"CROATIA","142360-99999","ZAGREB/GRIC",45.8,15.967,19960201,20200107,280.1728817,"GSOD",NA
17,"cyprus","Nikosia","Europe","Cyprus Main Market",35.1644,33.352,NA,NA,NA,NA,NA,"CYPRUS","176070-99999","NICOSIA/ATHALASSA",35.15,33.4,19900101,20200107,4653.395846,"GSOD",NA
18,"czechrepublic","Prague","Europe","PX",50.0895,14.4266,"EEA",50.0942,14.44204,"cz0akal",1220.52184269475,"CZECHIA","115190-99999","PRAHA-KARLOV / KLEMENTINUM",50.067,14.433,19310101,20200107,2546.075602,"GSOD",NA
19,"denmark","Copenhagen","Europe","OMXC 20",55.6752,12.583,"EEA",55.6743,12.5711,"dk0034a",753.674992370643,"DENMARK","061800-99999","KASTRUP",55.618,12.656,19290801,20200107,7846.840179,"GSOD",NA
20,"dubai","Dubai","Western Asia","ADX General",25.2273,55.2884,"U.S. Department of State",25.2586,55.3092,"",4065.29193453544,"UNITED ARAB EMIRATES","411940-99999","DUBAI INTL",25.255,55.364,19830101,20200107,8213.05429,"GSOD",NA
