"","Country","Pollutant","Variable","Year","Unit","PowerCode","TT_emission"
"1","Canada","Particulates (PM2.5)","Road Transport",2005,"Tonnes","Thousands",26.39
"2","Canada","Particulates (PM2.5)","Road Transport",2006,"Tonnes","Thousands",24.919
"3","Canada","Particulates (PM2.5)","Road Transport",2007,"Tonnes","Thousands",23.807
"4","Canada","Particulates (PM2.5)","Road Transport",2008,"Tonnes","Thousands",22.97
"5","Canada","Particulates (PM2.5)","Road Transport",2009,"Tonnes","Thousands",21.346
"6","Canada","Particulates (PM2.5)","Road Transport",2010,"Tonnes","Thousands",21.263
"7","Canada","Particulates (PM2.5)","Road Transport",2011,"Tonnes","Thousands",20.034
"8","Canada","Particulates (PM2.5)","Road Transport",2012,"Tonnes","Thousands",18.86
"9","Canada","Particulates (PM2.5)","Road Transport",2013,"Tonnes","Thousands",18.244
"10","Canada","Particulates (PM2.5)","Road Transport",2014,"Tonnes","Thousands",16.999
"11","Canada","Particulates (PM2.5)","Road Transport",2015,"Tonnes","Thousands",15.95
"12","Canada","Particulates (PM2.5)","Road Transport",2016,"Tonnes","Thousands",15.942
"13","Canada","Particulates (PM2.5)","Road Transport",2017,"Tonnes","Thousands",16.495
"14","Canada","Particulates (PM2.5)","Road Transport",2018,"Tonnes","Thousands",17.097
"15","Canada","Particulates (PM2.5)","Road Transport",2019,"Tonnes","Thousands",17.131
"16","Canada","Particulates (PM2.5)","Other Mobile Sources",2005,"Tonnes","Thousands",38.992
"17","Canada","Particulates (PM2.5)","Other Mobile Sources",2006,"Tonnes","Thousands",36.158
"18","Canada","Particulates (PM2.5)","Other Mobile Sources",2007,"Tonnes","Thousands",35.865
"19","Canada","Particulates (PM2.5)","Other Mobile Sources",2008,"Tonnes","Thousands",34.649
"20","Canada","Particulates (PM2.5)","Other Mobile Sources",2009,"Tonnes","Thousands",31.994
"21","Canada","Particulates (PM2.5)","Other Mobile Sources",2010,"Tonnes","Thousands",32.985
"22","Canada","Particulates (PM2.5)","Other Mobile Sources",2011,"Tonnes","Thousands",28.66
"23","Canada","Particulates (PM2.5)","Other Mobile Sources",2012,"Tonnes","Thousands",25.492
"24","Canada","Particulates (PM2.5)","Other Mobile Sources",2013,"Tonnes","Thousands",23.963
"25","Canada","Particulates (PM2.5)","Other Mobile Sources",2014,"Tonnes","Thousands",22.219
"26","Canada","Particulates (PM2.5)","Other Mobile Sources",2015,"Tonnes","Thousands",19.561
"27","Canada","Particulates (PM2.5)","Other Mobile Sources",2016,"Tonnes","Thousands",15.933
"28","Canada","Particulates (PM2.5)","Other Mobile Sources",2017,"Tonnes","Thousands",17.097
"29","Canada","Particulates (PM2.5)","Other Mobile Sources",2018,"Tonnes","Thousands",18.132
"30","Canada","Particulates (PM2.5)","Other Mobile Sources",2019,"Tonnes","Thousands",18.066
"31","Canada","Particulates (PM2.5)","Power stations",2005,"Tonnes","Thousands",8.728
"32","Canada","Particulates (PM2.5)","Power stations",2006,"Tonnes","Thousands",5.914
"33","Canada","Particulates (PM2.5)","Power stations",2007,"Tonnes","Thousands",6.814
"34","Canada","Particulates (PM2.5)","Power stations",2008,"Tonnes","Thousands",6.703
"35","Canada","Particulates (PM2.5)","Power stations",2009,"Tonnes","Thousands",5.984
"36","Canada","Particulates (PM2.5)","Power stations",2010,"Tonnes","Thousands",5.647
"37","Canada","Particulates (PM2.5)","Power stations",2011,"Tonnes","Thousands",4.24
"38","Canada","Particulates (PM2.5)","Power stations",2012,"Tonnes","Thousands",3.171
"39","Canada","Particulates (PM2.5)","Power stations",2013,"Tonnes","Thousands",3.177
"40","Canada","Particulates (PM2.5)","Power stations",2014,"Tonnes","Thousands",3.507
"41","Canada","Particulates (PM2.5)","Power stations",2015,"Tonnes","Thousands",3.38
"42","Canada","Particulates (PM2.5)","Power stations",2016,"Tonnes","Thousands",3.289
"43","Canada","Particulates (PM2.5)","Power stations",2017,"Tonnes","Thousands",3.205
"44","Canada","Particulates (PM2.5)","Power stations",2018,"Tonnes","Thousands",3.1
"45","Canada","Particulates (PM2.5)","Power stations",2019,"Tonnes","Thousands",2.706
"46","Canada","Particulates (PM2.5)","Combustion",2005,"Tonnes","Thousands",120.585
"47","Canada","Particulates (PM2.5)","Combustion",2006,"Tonnes","Thousands",110.4
"48","Canada","Particulates (PM2.5)","Combustion",2007,"Tonnes","Thousands",122.815
"49","Canada","Particulates (PM2.5)","Combustion",2008,"Tonnes","Thousands",120.103
"50","Canada","Particulates (PM2.5)","Combustion",2009,"Tonnes","Thousands",118.24
"51","Canada","Particulates (PM2.5)","Combustion",2010,"Tonnes","Thousands",106.23
