"","Country","Variable","Risk","Sex","Age","NumOfDeath","Year","Unit"
"1","Canada","Premature deaths","Ambient Particulate Matter","Female","All",2380,2005,"Number"
"2","Canada","Premature deaths","Ambient Particulate Matter","Female","All",2293,2006,"Number"
"3","Canada","Premature deaths","Ambient Particulate Matter","Female","All",2188,2007,"Number"
"4","Canada","Premature deaths","Ambient Particulate Matter","Female","All",2063,2008,"Number"
"5","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1930,2009,"Number"
"6","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1821,2010,"Number"
"7","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1748,2011,"Number"
"8","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1683,2012,"Number"
"9","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1632,2013,"Number"
"10","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1617,2014,"Number"
"11","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1611,2015,"Number"
"12","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1642,2016,"Number"
"13","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1674,2017,"Number"
"14","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1725,2018,"Number"
"15","Canada","Premature deaths","Ambient Particulate Matter","Female","All",1710,2019,"Number"
"16","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",24,2005,"Number"
"17","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",24,2006,"Number"
"18","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",25,2007,"Number"
"19","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",25,2008,"Number"
"20","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",24,2009,"Number"
"21","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",23,2010,"Number"
"22","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",23,2011,"Number"
"23","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",22,2012,"Number"
"24","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",23,2013,"Number"
"25","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",21,2014,"Number"
"26","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",21,2015,"Number"
"27","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",22,2016,"Number"
"28","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",23,2017,"Number"
"29","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",22,2018,"Number"
"30","Canada","Premature deaths","Ambient Particulate Matter","Female","Less than 15 years old",21,2019,"Number"
"31","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",1093,2005,"Number"
"32","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",1059,2006,"Number"
"33","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",1021,2007,"Number"
"34","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",963,2008,"Number"
"35","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",899,2009,"Number"
"36","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",841,2010,"Number"
"37","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",794,2011,"Number"
"38","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",760,2012,"Number"
"39","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",725,2013,"Number"
"40","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",708,2014,"Number"
"41","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",697,2015,"Number"
"42","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",707,2016,"Number"
"43","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",709,2017,"Number"
"44","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",710,2018,"Number"
"45","Canada","Premature deaths","Ambient Particulate Matter","Both","15 to 64 years old",686,2019,"Number"
"46","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",2023,2005,"Number"
"47","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1933,2006,"Number"
"48","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1855,2007,"Number"
"49","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1748,2008,"Number"
"50","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1632,2009,"Number"
"51","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1539,2010,"Number"
"52","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1467,2011,"Number"
"53","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1430,2012,"Number"
"54","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1393,2013,"Number"
"55","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1389,2014,"Number"
"56","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1397,2015,"Number"
"57","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1440,2016,"Number"
"58","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1489,2017,"Number"
"59","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1574,2018,"Number"
"60","Canada","Premature deaths","Ambient Particulate Matter","Male","More than 64 years old",1584,2019,"Number"
"61","Canada","Premature deaths","Ambient Particulate Matter","Both","More than 64 years old",4024,2005,"Number"
"62","Canada","Premature deaths","Ambient Particulate Matter","Both","More than 64 years old",3857,2006,"Number"
